title,console,genre,publisher,developer,critic_score,total_sales,na_sales,pal_sales,other_sales,release_date,year
Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,9.4,20.32,6.37,9.85,3.12,2013-09-17,2013.0
Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,9.7,19.39,6.06,9.71,3.02,2014-11-18,2014.0
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,9.6,16.15,8.41,5.49,1.78,2002-10-28,2002.0
Call of Duty: Black Ops 3,PS4,Shooter,Activision,Treyarch,8.1,15.09,6.18,6.05,2.44,2015-11-06,2015.0
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,Infinity Ward,8.7,14.82,9.07,4.29,1.33,2011-11-08,2011.0
Call of Duty: Black Ops,X360,Shooter,Activision,Treyarch,8.8,14.74,9.76,3.73,1.14,2010-11-09,2010.0
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,Rockstar Games,9.8,13.94,5.26,6.21,2.26,2018-10-26,2018.0
Call of Duty: Black Ops II,X360,Shooter,Activision,Treyarch,8.4,13.86,8.27,4.32,1.2,2012-11-13,2012.0
Call of Duty: Black Ops II,PS3,Shooter,Activision,Treyarch,8.0,13.8,4.99,5.88,2.28,2012-11-13,2012.0
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,Infinity Ward,9.5,13.53,8.54,3.63,1.28,2009-11-10,2009.0
Call of Duty: WWII,PS4,Shooter,Activision,Sledgehammer Games,8.1,13.4,4.67,6.21,2.12,2017-11-03,2017.0
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,Infinity Ward,8.8,13.35,5.54,5.78,1.54,2011-11-08,2011.0
Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,9.5,13.1,6.99,4.51,1.3,2001-10-23,2001.0
Call of Duty: Black Ops,PS3,Shooter,Activision,Treyarch,8.7,12.67,6.01,4.4,1.78,2010-11-09,2010.0
FIFA 18,PS4,Sports,EA Sports,EA Vancouver,8.3,11.8,1.27,8.64,1.73,2017-09-29,2017.0
Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,10.0,11.09,6.8,3.11,1.04,2008-04-29,2008.0
FIFA 17,PS4,Sports,Electronic Arts,EA Canada,8.9,10.94,1.26,7.95,1.61,2016-09-27,2016.0
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,Infinity Ward,9.5,10.61,4.99,3.66,1.59,2009-11-10,2009.0
Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,10.0,10.57,4.79,3.73,1.62,2008-04-29,2008.0
Call of Duty: Ghosts,X360,Shooter,Activision,Infinity Ward,6.9,10.41,6.76,2.64,0.98,2013-11-05,2013.0
Call of Duty: Ghosts,PS3,Shooter,Activision,Infinity Ward,7.5,10.13,4.11,4.01,1.62,2013-11-05,2013.0
Halo: Reach,X360,Shooter,Microsoft Game Studios,Bungie,9.3,9.97,7.08,2.01,0.8,2010-09-14,2010.0
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,Infinity Ward,9.6,9.41,5.98,2.39,0.91,2007-11-05,2007.0
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.3,8.88,5.1,2.83,0.85,2011-11-11,2011.0
Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,9.0,8.72,4.7,3.25,0.76,2014-11-18,2014.0
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,Infinity Ward,7.9,8.48,3.11,3.83,1.36,2016-11-04,2016.0
Fallout 4,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.6,8.48,2.91,3.97,1.34,2015-11-10,2015.0
FIFA 16,PS4,Sports,EA Sports,EA Canada,8.5,8.22,1.15,5.77,1.23,2015-09-22,2015.0
Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,EA DICE,7.1,8.03,3.31,3.19,1.3,2015-11-17,2015.0
The Sims 3,PC,Simulation,Electronic Arts,EA Redwood Shores,8.5,7.96,1.01,6.46,0.5,2009-06-02,2009.0
